Job Id,Job Title,Company,location,Job Description,Experience,Qualifications,Salary Range,Work Type,skills,clean_description,extracted_skills,categories
2.69696E+15,QA Analyst,McDonald's,Manama,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",3 to 10 Years,BCA,$57K-$104K,Contract,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,performance testing specialists assess the performance of software applications by conducting load stress and scalability tests they identify bottlenecks optimize performance and ensure software can handle user demands effectively,,
1.44619E+15,Litigation Attorney,TPG Telecom,The City of Hamilton,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",4 to 12 Years,B.Tech,$64K-$98K,Contract,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,family law attorneys deal with legal matters related to family relationships they handle cases like divorce child custody adoption and domestic disputes to provide legal guidance,,
1.91412E+15,Mechanical Engineer,ThyssenKrupp AG,Kingston,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.",3 to 15 Years,MCA,$65K-$122K,Part-Time,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",mechanical design engineers create and develop mechanical systems and components from concept to manufacturing ensuring functionality and safety,,
2.90762E+14,Network Administrator,EnLink Midstream,Banjul,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",1 to 8 Years,B.Com,$56K-$86K,Temporary,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,protect an organizations computer networks and systems from security threats monitor network traffic and respond to incidents,,
1.62754E+15,Account Manager,NGL Energy Partners,Damascus,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",1 to 9 Years,MCA,$57K-$98K,Full-Time,Account management Sales strategy Negotiation and closing skills,a sales account manager is responsible for building and maintaining relationships with clients identifying their needs and proposing tailored solutions to achieve sales targets,,
2.69197E+15,Brand Manager,Bayer AG,Sanaa,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.,4 to 12 Years,M.Com,$65K-$100K,Part-Time,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting,a product brand manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio,,
2.82389E+15,Social Worker,Deere,San Marino,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.",5 to 14 Years,M.Tech,$60K-$83K,Part-Time,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,support students social and emotional well being in schools collaborate with educators and connect families with resources,,
7.69021E+13,Social Media Coordinator,Mondelez International,Papeete,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.",0 to 11 Years,BA,$55K-$117K,Full-Time,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",create engaging and relevant content such as articles videos or social media posts to promote brands or products,,
2.35216E+14,Email Marketing Specialist,3M,Seoul,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.",3 to 12 Years,BA,$55K-$121K,Contract,"Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail",monitor and improve email deliverability rates troubleshoot delivery issues and maintain a clean email list,,
4.07981E+14,HR Generalist,KKR,Kinshasa,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.",5 to 9 Years,PhD,$65K-$128K,Temporary,Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,hr coordinators assist in hr functions such as recruitment onboarding and employee record maintenance they often handle administrative tasks organize training programs and provide support to the hr department in various ways,,
9.40776E+14,Legal Assistant,NGL Energy Partners,Baku,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.",0 to 15 Years,B.Tech,$62K-$120K,Full-Time,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",provide administrative support to legal professionals manage schedules draft documents and handle correspondence,,
1.52431E+15,Nurse Practitioner,EasyJet,Funafuti,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",0 to 10 Years,BCA,$64K-$98K,Intern,Family medicine Health assessment Pediatric care Chronic disease management Patient education,family nurse practitioners specialize in family centered healthcare providing comprehensive medical care to individuals of all ages within a family context,,
2.50813E+15,Account Director,Otis Worldwide,Asmara,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",1 to 8 Years,M.Tech,$58K-$116K,Intern,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,account strategists work in advertising or marketing agencies managing client accounts they develop strategies to meet client goals oversee campaign execution and maintain client satisfaction by providing expert guidance and solutions,,
2.80873E+15,Software Engineer,Oil Search,Tegucigalpa,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",2 to 14 Years,PhD,$62K-$124K,Temporary,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",a backend developer is tasked with building and maintaining the server side logic and database infrastructure of web applications they work on the core functionality data storage and server communication to ensure the application runs smoothly and efficiently,"Python (Programming), Java (Programming), JavaScript (Programming), SQL (Programming), SQL (Database)","Programming, Database"
2.27736E+15,Purchasing Agent,HCL Technologies,Road Town,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",3 to 9 Years,MBA,$60K-$104K,Temporary,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,a supply chain coordinator manages supply chain operations coordinates logistics and ensures the seamless flow of goods and materials throughout the supply chain network,,
2.26307E+15,Purchasing Agent,DTE Energy,Havana,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",4 to 12 Years,BBA,$58K-$107K,Temporary,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,a supply chain coordinator manages supply chain operations coordinates logistics and ensures the seamless flow of goods and materials throughout the supply chain network,,
1.50462E+15,Sales Consultant,Associated British Foods,Budapest,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",5 to 15 Years,M.Tech,$59K-$88K,Contract,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,b2b sales consultants specialize in business to business sales they identify and target potential corporate clients negotiate contracts and build long term relationships to drive sales growth in the b2b market,,
2.42566E+15,Civil Engineer,Xcel Energy,Banjul,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",4 to 15 Years,BA,$64K-$100K,Part-Time,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",a structural engineer designs and analyzes the structural integrity of buildings bridges and other structures they ensure safety and compliance with engineering standards,,
1.36146E+15,Network Security Specialist,Deutsche Post DHL Group,Funafuti,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.",0 to 12 Years,M.Com,$63K-$86K,Intern,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",soc analysts work in security operations centers they monitor and respond to security incidents analyze threats and implement security protocols to protect an organizations assets,,
1.35533E+15,UI Developer,Bodycote,AsunciÃ³n,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,2 to 10 Years,BBA,$65K-$119K,Intern,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",a front end developer specializes in creating the user interface and user experience of websites or applications they code and design elements that users interact with directly,"JavaScript (Programming), HTML (Programming), CSS (Programming), HTML (Web Development), CSS (Web Development)","Programming, Web Development"
2.02064E+15,Financial Planner,Old Republic International,Amman,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.",4 to 8 Years,BA,$55K-$83K,Intern,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,assist clients with tax planning minimize tax liabilities and stay up to date with tax laws and regulations,,
4.19222E+14,Event Planner,United Airlines Holdings,Santiago,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",3 to 8 Years,BA,$65K-$115K,Part-Time,Event planning Vendor coordination Budget management Marketing and promotion Logistics,event coordinators plan and execute various events including conferences parties and meetings managing logistics budgets and vendor relationships,,
6.19201E+14,Psychologist,Tenet Healthcare,Abuja,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",1 to 14 Years,M.Com,$57K-$121K,Contract,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,clinical psychologists diagnose and treat mental health disorders they conduct therapy sessions assessments and research to improve patients well being,,
2.06377E+15,Electrical Designer,Regions Financial,Tripoli,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",1 to 13 Years,B.Com,$65K-$82K,Contract,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,electrical engineers design and develop electrical systems and devices they work on projects such as power generation electronics and control systems for various industries,,
1.88909E+15,Electrical Designer,CBRE Group,Canberra,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",0 to 8 Years,M.Com,$62K-$130K,Temporary,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,lighting designers create lighting plans for architectural and artistic purposes they enhance spaces with lighting effects aesthetics and energy efficient lighting solutions,,
9.81852E+14,Data Analyst,"Wyndham Hotels & Resorts, Inc.",Noumea,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",3 to 10 Years,M.Com,$58K-$129K,Part-Time,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",business intelligence analysts gather and analyze data to provide valuable insights to support decision making within an organization they create reports dashboards and data visualizations to help stakeholders understand trends patterns and opportunities in the data,"SQL (Programming), SQL (Database), Power BI (Data Analytics), Tableau (Data Analytics)","Programming, Database, Data Analytics"
3.02321E+15,Technical Writer,Corning,Muscat,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",0 to 12 Years,PhD,$60K-$89K,Intern,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,content writers create written content for various platforms they produce articles blog posts and web content to inform educate or entertain audiences,,
4.87917E+14,UX/UI Designer,Leidos Holdings,Gaza,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",0 to 8 Years,BA,$64K-$103K,Temporary,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",user interface designers focus on the visual and interactive aspects of digital interfaces they design layouts buttons and other elements to ensure a cohesive and visually appealing user interface,,
1.70379E+15,Tax Consultant,Divi's Laboratories,Honiara,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,4 to 12 Years,M.Com,$57K-$100K,Part-Time,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,a personal tax consultant provides tax planning and preparation services to individuals they help clients optimize their tax situations while ensuring compliance with tax laws,,
2.81208E+15,Software Tester,Tata Consumer Products,SÃ£o TomÃ©,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,5 to 10 Years,MBA,$58K-$81K,Full-Time,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",an automation tester uses automated testing tools to verify the functionality and performance of software applications they create and execute automated test scripts,"Python (Programming), Java (Programming)",Programming
1.4627E+15,Account Executive,Fannie Mae,Yamoussoukro,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",5 to 14 Years,BCA,$56K-$109K,Intern,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,a sales account executive is responsible for acquiring and managing business accounts they identify sales opportunities negotiate contracts and meet revenue targets,,
2.14925E+15,Systems Administrator,Spotify Technology S.A.,Quito,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",2 to 13 Years,BCA,$55K-$121K,Part-Time,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,it support specialists provide technical assistance to end users troubleshooting hardware and software problems setting up equipment and maintaining it infrastructure,,
1.19171E+15,Account Director,Bajaj Auto,Charlotte Amalie,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",4 to 9 Years,BA,$62K-$129K,Intern,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,account strategists work in advertising or marketing agencies managing client accounts they develop strategies to meet client goals oversee campaign execution and maintain client satisfaction by providing expert guidance and solutions,,
1.88704E+15,Digital Marketing Specialist,Renishaw,Yaounde,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",0 to 10 Years,PhD,$65K-$95K,Part-Time,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",social media managers oversee an organizations social media presence they create and schedule content engage with followers and analyze social media metrics to drive brand awareness and engagement,,
3.85984E+14,Database Administrator,News Corp.,Yaounde,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.",1 to 15 Years,BBA,$56K-$82K,Temporary,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",a database developer designs develops and maintains databases they create efficient data structures write queries and ensure data security and integrity,"Python (Programming), Java (Programming), SQL (Programming), SQL (Database)","Programming, Database"
1.62447E+15,Research Analyst,KKR,Moroni,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.",1 to 15 Years,B.Tech,$59K-$80K,Intern,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",a social science researcher conducts research in fields such as sociology psychology or anthropology to study human behavior and social phenomena contributing to academic knowledge,,
1.37351E+15,Data Entry Clerk,Arconic,Madrid,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",3 to 9 Years,B.Tech,$56K-$109K,Temporary,Records management Data entry and retrieval Attention to detail,a record keeper is responsible for maintaining accurate records and databases ensuring data integrity and assisting in data retrieval when needed,,
2.82825E+15,Registered Nurse,"Revlon, Inc.",Belmopan,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",5 to 14 Years,MCA,$64K-$130K,Intern,Nursing care Patient assessment Medical knowledge,a staff nurse provides patient care administers medications and collaborates with healthcare teams to ensure the well being of patients in clinical settings,,
2.28317E+15,Tax Consultant,Dow,Valletta,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",3 to 8 Years,BA,$59K-$89K,Temporary,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency,an international tax consultant focuses on tax matters related to international business operations ensuring compliance with global tax laws and optimizing tax structures,,
1.62344E+15,Investment Analyst,Seaboard,Panama City,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,4 to 8 Years,MCA,$57K-$97K,Temporary,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,a risk analyst assesses and manages financial risks within an organization they use data analysis and modeling to evaluate potential risks and recommend mitigation strategies,,
6.14048E+13,Speech Therapist,Philip Morris International,Yaounde,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.",5 to 10 Years,M.Com,$62K-$127K,Temporary,Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,speech pathologists diagnose and treat speech language and swallowing disorders in patients of all ages they develop personalized treatment plans to improve communication,,
1.43808E+14,Sales Manager,Enterprise Products Partners,Yaounde,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",4 to 8 Years,B.Com,$55K-$105K,Contract,Sales strategy development Territory management Sales team leadership,oversee sales operations within a specific region develop sales plans and manage regional sales teams,,
9.72331E+14,Social Worker,Bayer AG,Brazzaville,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.",4 to 10 Years,BCA,$59K-$123K,Full-Time,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,offer counseling and therapy services to individuals couples or groups helping them address mental health concerns,,
8.3249E+14,Nurse Practitioner,Carrier Global,Cockburn Town,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",5 to 12 Years,PhD,$59K-$114K,Part-Time,Family medicine Health assessment Pediatric care Chronic disease management Patient education,family nurse practitioners specialize in family centered healthcare providing comprehensive medical care to individuals of all ages within a family context,,
1.8892E+15,Landscape Architect,UnitedHealth Group,Phnom Penh,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",0 to 13 Years,B.Com,$64K-$92K,Temporary,Urban design and planning Zoning regulations GIS and mapping tools,develop and implement urban planning strategies manage land use and ensure sustainable city development,,
1.93206E+15,Key Account Manager,Avnet,Monaco,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",5 to 15 Years,B.Tech,$60K-$102K,Temporary,Account management Client relationship Sales strategy Business development Negotiation skills,strategic account managers nurture relationships with key clients they develop account strategies address client needs and seek opportunities for business growth and expansion,,
2.90488E+15,UX Researcher,UGI,Yerevan,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",4 to 14 Years,B.Tech,$63K-$109K,Intern,User research methods Usability testing Data analysis and interpretation,conduct user research to understand customer needs preferences and behaviors to inform product development,,
2.16307E+15,Account Manager,Disney+,Hagatna,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",4 to 11 Years,BA,$57K-$125K,Temporary,Account management Sales strategy Negotiation and closing skills,a sales account manager is responsible for building and maintaining relationships with clients identifying their needs and proposing tailored solutions to achieve sales targets,,
8.19508E+14,Investment Banker,General Electric,Castries,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",2 to 10 Years,B.Com,$65K-$88K,Part-Time,Financial analysis Data analysis Financial modeling,a financial analyst conducts financial analysis generates reports and provides insights to support decision making budgeting and financial planning,,
4.63605E+14,IT Support Specialist,Brighthouse Financial,Brazzaville,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.",2 to 9 Years,BBA,$65K-$117K,Intern,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",desktop support technicians troubleshoot and maintain desktop computer systems resolving hardware and software problems for users,,
9.1461E+14,Art Director,Deutsche Pfandbriefbank AG,Belmopan,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",3 to 12 Years,BA,$61K-$111K,Temporary,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,an art curator is responsible for managing and preserving a collection of artworks they curate exhibitions acquire new pieces and educate the public about the art,,
4.01561E+14,Account Executive,GlaxoSmithKline,New Delhi,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",5 to 12 Years,PhD,$57K-$125K,Full-Time,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,a sales account executive is responsible for acquiring and managing business accounts they identify sales opportunities negotiate contracts and meet revenue targets,,
1.3781E+15,Software Developer,Starbucks,Mogadishu,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,0 to 11 Years,M.Tech,$56K-$94K,Contract,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",mobile app developers design and develop mobile applications for various platforms they collaborate with cross functional teams to create user friendly and functional mobile apps that meet user needs,"Java (Programming), React (Web Development)","Programming, Web Development"
2.0168E+15,Project Manager,Hindalco Industries,Islamabad,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.",1 to 11 Years,BCA,$65K-$121K,Intern,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",the agile project manager leads agile teams facilitating effective project development and delivery they use agile methodologies to manage tasks prioritize work and adapt to changing requirements while fostering collaboration among team members,,
1.69892E+15,Civil Engineer,Lincoln National,Bandar Seri Begawan,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",4 to 13 Years,MCA,$65K-$84K,Full-Time,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",a structural engineer designs and analyzes the structural integrity of buildings bridges and other structures they ensure safety and compliance with engineering standards,,
1.78631E+15,Customer Service Manager,HCL Technologies,Yaounde,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",0 to 8 Years,BCA,$55K-$96K,Part-Time,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,service quality assurance managers monitor and evaluate service quality in an organization they develop quality standards conduct audits analyze customer feedback and implement improvements to ensure consistent high quality service delivery,,
