Job Id,Job Title,Company,location,Job Description,Experience,Qualifications,Salary Range,Work Type,skills
1627540000000000.0,Account Manager,NGL Energy Partners,Damascus,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",1 to 9 Years,MCA,$57K-$98K,Full-Time,Account management Sales strategy Negotiation and closing skills
2691970000000000.0,Brand Manager,Bayer AG,Sanaa,A Product Brand Manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio.,4 to 12 Years,M.Com,$65K-$100K,Part-Time,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting
2823890000000000.0,Social Worker,Deere,San Marino,"Support students social and emotional well-being in schools, collaborate with educators, and connect families with resources.",5 to 14 Years,M.Tech,$60K-$83K,Part-Time,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification
76902100000000.0,Social Media Coordinator,Mondelez International,Papeete,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.",0 to 11 Years,BA,$55K-$117K,Full-Time,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity"
235216000000000.0,Email Marketing Specialist,3M,Seoul,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.",3 to 12 Years,BA,$55K-$121K,Contract,"Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail"
407981000000000.0,HR Generalist,KKR,Kinshasa,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.",5 to 9 Years,PhD,$65K-$128K,Temporary,Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills
940776000000000.0,Legal Assistant,NGL Energy Partners,Baku,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.",0 to 15 Years,B.Tech,$62K-$120K,Full-Time,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)"
1524310000000000.0,Nurse Practitioner,EasyJet,Funafuti,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",0 to 10 Years,BCA,$64K-$98K,Intern,Family medicine Health assessment Pediatric care Chronic disease management Patient education
2508130000000000.0,Account Director,Otis Worldwide,Asmara,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",1 to 8 Years,M.Tech,$58K-$116K,Intern,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills
2808730000000000.0,Software Engineer,Oil Search,Tegucigalpa,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",2 to 14 Years,PhD,$62K-$124K,Temporary,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
2277360000000000.0,Purchasing Agent,HCL Technologies,Road Town,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",3 to 9 Years,MBA,$60K-$104K,Temporary,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
2263070000000000.0,Purchasing Agent,DTE Energy,Havana,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",4 to 12 Years,BBA,$58K-$107K,Temporary,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
1504620000000000.0,Sales Consultant,Associated British Foods,Budapest,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",5 to 15 Years,M.Tech,$59K-$88K,Contract,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research
2425660000000000.0,Civil Engineer,Xcel Energy,Banjul,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",4 to 15 Years,BA,$64K-$100K,Part-Time,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment"
1361460000000000.0,Network Security Specialist,Deutsche Post DHL Group,Funafuti,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.",0 to 12 Years,M.Com,$63K-$86K,Intern,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage"
1355330000000000.0,UI Developer,Bodycote,AsunciÃ³n,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,2 to 10 Years,BBA,$65K-$119K,Intern,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility"
2020640000000000.0,Financial Planner,Old Republic International,Amman,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.",4 to 8 Years,BA,$55K-$83K,Intern,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance
419222000000000.0,Event Planner,United Airlines Holdings,Santiago,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",3 to 8 Years,BA,$65K-$115K,Part-Time,Event planning Vendor coordination Budget management Marketing and promotion Logistics
619201000000000.0,Psychologist,Tenet Healthcare,Abuja,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",1 to 14 Years,M.Com,$57K-$121K,Contract,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills
2063770000000000.0,Electrical Designer,Regions Financial,Tripoli,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",1 to 13 Years,B.Com,$65K-$82K,Contract,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving
1889090000000000.0,Electrical Designer,CBRE Group,Canberra,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",0 to 8 Years,M.Com,$62K-$130K,Temporary,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge
981852000000000.0,Data Analyst,"Wyndham Hotels & Resorts, Inc.",Noumea,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",3 to 10 Years,M.Com,$58K-$129K,Part-Time,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making"
3023210000000000.0,Technical Writer,Corning,Muscat,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",0 to 12 Years,PhD,$60K-$89K,Intern,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading
487917000000000.0,UX/UI Designer,Leidos Holdings,Gaza,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",0 to 8 Years,BA,$64K-$103K,Temporary,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
1703790000000000.0,Tax Consultant,Divi's Laboratories,Honiara,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,4 to 12 Years,M.Com,$57K-$100K,Part-Time,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
2812080000000000.0,Software Tester,Tata Consumer Products,SÃ£o TomÃ©,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,5 to 10 Years,MBA,$58K-$81K,Full-Time,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management"
1462700000000000.0,Account Executive,Fannie Mae,Yamoussoukro,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",5 to 14 Years,BCA,$56K-$109K,Intern,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge
2149250000000000.0,Systems Administrator,Spotify Technology S.A.,Quito,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",2 to 13 Years,BCA,$55K-$121K,Part-Time,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
1191710000000000.0,Account Director,Bajaj Auto,Charlotte Amalie,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",4 to 9 Years,BA,$62K-$129K,Intern,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills
1887040000000000.0,Digital Marketing Specialist,Renishaw,Yaounde,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",0 to 10 Years,PhD,$65K-$95K,Part-Time,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
385984000000000.0,Database Administrator,News Corp.,Yaounde,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.",1 to 15 Years,BBA,$56K-$82K,Temporary,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge"
1624470000000000.0,Research Analyst,KKR,Moroni,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.",1 to 15 Years,B.Tech,$59K-$80K,Intern,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy"
1373510000000000.0,Data Entry Clerk,Arconic,Madrid,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",3 to 9 Years,B.Tech,$56K-$109K,Temporary,Records management Data entry and retrieval Attention to detail
2828250000000000.0,Registered Nurse,"Revlon, Inc.",Belmopan,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",5 to 14 Years,MCA,$64K-$130K,Intern,Nursing care Patient assessment Medical knowledge
2283170000000000.0,Tax Consultant,Dow,Valletta,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",3 to 8 Years,BA,$59K-$89K,Temporary,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency
1623440000000000.0,Investment Analyst,Seaboard,Panama City,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,4 to 8 Years,MCA,$57K-$97K,Temporary,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge
61404800000000.0,Speech Therapist,Philip Morris International,Yaounde,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.",5 to 10 Years,M.Com,$62K-$127K,Temporary,Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills
143808000000000.0,Sales Manager,Enterprise Products Partners,Yaounde,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",4 to 8 Years,B.Com,$55K-$105K,Contract,Sales strategy development Territory management Sales team leadership
972331000000000.0,Social Worker,Bayer AG,Brazzaville,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.",4 to 10 Years,BCA,$59K-$123K,Full-Time,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification
832490000000000.0,Nurse Practitioner,Carrier Global,Cockburn Town,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",5 to 12 Years,PhD,$59K-$114K,Part-Time,Family medicine Health assessment Pediatric care Chronic disease management Patient education
1889200000000000.0,Landscape Architect,UnitedHealth Group,Phnom Penh,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",0 to 13 Years,B.Com,$64K-$92K,Temporary,Urban design and planning Zoning regulations GIS and mapping tools
1932060000000000.0,Key Account Manager,Avnet,Monaco,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",5 to 15 Years,B.Tech,$60K-$102K,Temporary,Account management Client relationship Sales strategy Business development Negotiation skills
2904880000000000.0,UX Researcher,UGI,Yerevan,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",4 to 14 Years,B.Tech,$63K-$109K,Intern,User research methods Usability testing Data analysis and interpretation
2163070000000000.0,Account Manager,Disney+,Hagatna,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",4 to 11 Years,BA,$57K-$125K,Temporary,Account management Sales strategy Negotiation and closing skills
819508000000000.0,Investment Banker,General Electric,Castries,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",2 to 10 Years,B.Com,$65K-$88K,Part-Time,Financial analysis Data analysis Financial modeling
463605000000000.0,IT Support Specialist,Brighthouse Financial,Brazzaville,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.",2 to 9 Years,BBA,$65K-$117K,Intern,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills"
914610000000000.0,Art Director,Deutsche Pfandbriefbank AG,Belmopan,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",3 to 12 Years,BA,$61K-$111K,Temporary,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness
401561000000000.0,Account Executive,GlaxoSmithKline,New Delhi,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",5 to 12 Years,PhD,$57K-$125K,Full-Time,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge
1378100000000000.0,Software Developer,Starbucks,Mogadishu,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,0 to 11 Years,M.Tech,$56K-$94K,Contract,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting"
2016800000000000.0,Project Manager,Hindalco Industries,Islamabad,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.",1 to 11 Years,BCA,$65K-$121K,Intern,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
1698920000000000.0,Civil Engineer,Lincoln National,Bandar Seri Begawan,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",4 to 13 Years,MCA,$65K-$84K,Full-Time,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment"
1786310000000000.0,Customer Service Manager,HCL Technologies,Yaounde,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",0 to 8 Years,BCA,$55K-$96K,Part-Time,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis
1119900000000000.0,Procurement Manager,Nestle India,Gaza,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",4 to 13 Years,MBA,$59K-$101K,Full-Time,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
2905320000000000.0,Substance Abuse Counselor,Electrocomponents,Roseau,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",3 to 10 Years,B.Com,$63K-$114K,Intern,Family counseling Marriage and family therapy Conflict resolution skills
1070090000000000.0,Supply Chain Analyst,Community Health Systems,Castries,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",1 to 15 Years,MCA,$64K-$82K,Intern,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving
2853460000000000.0,Data Engineer,Equitable Holdings,London,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",0 to 9 Years,B.Tech,$56K-$125K,Intern,Data architecture design Database management systems Data modeling
1853010000000000.0,Sales Manager,Bajaj Finserv,Kabul,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",3 to 9 Years,MCA,$64K-$83K,Part-Time,Sales strategy development Territory management Sales team leadership
751362000000000.0,Supply Chain Analyst,PulteGroup,Ulaanbaatar,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",5 to 8 Years,BBA,$58K-$88K,Contract,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving
1541300000000000.0,UX/UI Designer,Stockland Corporation,San Marino,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",5 to 14 Years,BA,$56K-$128K,Part-Time,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
747039000000000.0,Software Tester,Group 1 Automotive,Ulaanbaatar,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",2 to 12 Years,BA,$65K-$88K,Contract,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
3071870000000000.0,Software Tester,Altria Group,Bratislava,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",1 to 9 Years,MCA,$64K-$82K,Contract,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
1421430000000000.0,Technical Writer,Reynolds American Inc.,Rabat,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",1 to 10 Years,B.Com,$60K-$113K,Full-Time,Document management Recordkeeping Attention to detail Data entry Organizational skills
477744000000000.0,Accountant,Huntsman,Pretoria,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.",1 to 8 Years,BA,$55K-$87K,Full-Time,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge"
1071380000000000.0,Sales Representative,McDonald's,Gaborone,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.",4 to 8 Years,PhD,$56K-$101K,Contract,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
2523260000000000.0,Key Account Manager,Republic Services,Marigot,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",4 to 11 Years,B.Com,$63K-$102K,Contract,Account management Client relationship Sales strategy Business development Negotiation skills
433364000000000.0,Network Administrator,Republic Services,Bandar Seri Begawan,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",2 to 15 Years,BBA,$55K-$121K,Intern,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
708801000000000.0,Purchasing Agent,Continental AG,Riyadh,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",4 to 11 Years,PhD,$61K-$105K,Intern,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management
2472660000000000.0,QA Analyst,Tesla,Dhaka,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,1 to 14 Years,BCA,$56K-$93K,Contract,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review"
448039000000000.0,UX/UI Designer,Continental Resources,Kathmandu,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",4 to 13 Years,MCA,$65K-$96K,Full-Time,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
3069650000000000.0,Sales Representative,Henkel AG & Co. KGaA,Kuala Lumpur,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.",4 to 9 Years,BA,$57K-$83K,Full-Time,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
3019750000000000.0,Environmental Consultant,WESCO International,Bishkek,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",1 to 11 Years,BBA,$63K-$104K,Intern,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication
2932250000000000.0,Electrical Engineer,Unilever,Sri Jayawardenepura Kotte,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",5 to 13 Years,BBA,$59K-$113K,Temporary,Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting
1101350000000000.0,Systems Engineer,NRG Energy,Mexico City,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",0 to 9 Years,M.Tech,$65K-$107K,Temporary,Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting
2512290000000000.0,Brand Manager,InterContinental Hotels Group,Chisinau,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,0 to 13 Years,BBA,$56K-$91K,Full-Time,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration
